id,full_name,user_name,password,role_id,email,phone_number,address
C641408,Nguyen Van A,nguyenvana123,$2a$12$pOPr5Xkn5IQYHyRdpwtvWe7cpD2nGN34nuejf9Zr8VNJqJaPYTtA2,6,nguyenvana123@gmail.com,0967887992,"702 Nguyen Van Linh, Tan Phong, District 7, Ho Chi Minh city"
C574315,Nguyen Van B,nguyenvanb283,$2a$12$bR6jnupAgudIJwDyzOpMpeprxG9Xo1/hI0NWPSbB4TtRsz7gSUkHa,4,nguyenvanb283@gmail.com,0947482938,"703 Nguyen Van Linh, Tan Phong, District 7, Ho Chi Minh city"
T977564,Nguyen Van C,nguyenvanc433,$2a$12$DjJsLYaaLB010VhFd3ascem3g99YInBwvvmBecx5l.B8d2vZ3gXCe,2,nguyenvanc433@gmail.com,0947482872,"704 Nguyen Van Linh, tan Phong, District 7"
C447222,Nguyen Van D,nguyenvand283,$2a$12$QnsaEZHsgPQRVfQZxvOeFu3fbV1VRLmbBWXQl1JVc4mp3ORft9vYe,5,nguyenvand283@gmail.com,0938383838,702 Nguyen Van Linh
C0346579,Nguyen Thi A,nguyenthia123,$2a$12$DD6ohomSuaRPfSJGqb49Ge23Se..rqqedOCDrhr5pTkjvifihw0wi,6,nguyenthia@gmail.com,0923123452,"Da Lat, Lam Dong"
T196277,Emily Johnson,emilyj,$2a$12$/45aQlFSESp4ebk8aya28Ob0laesfHgpFGSHjRpDf.v/n4D8H3ANK,3,emily.johnson@example.com,0945738382,"1234 Elm Street, San Francisco, CA 94107"
T486916,Michael Brown,michaelb,$2a$12$P24Z1FrhfJVeo8JltkOmb..iJvvqJ8.LQnkQxe7bN9xZg2ei6dUzS,2,michael.brown@example.com,0983792092,"5678 Oak Avenue, New York, NY 10001"
T296180,Olivia Smith,olivias28,$2a$12$M3GnRT8ycNlzOZt.afnrYOgUS/WK2G82lXXbPCN/OX/jeTOZzvHYS,3,olivia.smith@example.com,0976938292,"9101 Maple Drive, Chicago, IL 60614"
C041283,Daniel Martinez," danielm",$2a$12$WSxCYLrFQx2lFZypuh6bLuyLHN2WRHPM7HUW16eXxEgxz0ucB5h.e,5,daniel.martinez@example.com,0982883928,"1213 Pine Lane, Miami, FL 33101"
C3562589,Martin Odegaard,OdegaardARS8,$2a$12$XkyL.DCxwf65LRedkWyJqOYfInwtRIk9YU7Hr8r1PwfNB8rzHpsYq,5,odegaard@arsenal.org.uk,0938334948,"Hornsey Rd, London N7 7AJ, UK"
C6398732,Nguyen Huu Phu,phu123,$2a$12$CFb6h3/V2yGbpqVqqNWjzunNKkXURqB1FqHqi1VDA8m32o81fW8om,6,nguyenhuuphu@gmail.com,09261234231,"Tra On, Vinh Long"
